No_,Description,Base Unit of Measure,Gross Weight,Net Weight,Gen_ Prod_ Posting Group,Item Category Code,Fecha creación,Cód_ grupo precio,Unidad medida trabajo,Cód_ formato,Cód_ embalaje,Clave estadistica 1,Clave estadistica 2,Clave estadistica 4,Clave estadistica 5,Unidad medida LM,Categoria WEB 1,Categoria WEB 2,Grosor comercial,formato_Código,formato_Descripción,formato_Largo,formato_Alto,Superficie,formato_Grosor,Grupo_registro_IVA_produto,Unidad medida venta,Situación producto,embalaje_Codigo,Embalaje_Descripcion,Cód formato,Piezas/Caja,M2/Caja,Cajas/Palet,M2/Pallet,MLin/Caja,EAN,Cód. arancelario
A038688,DECOR VASILY I RECT 120X260,PZ,83.49,82.03,PORCELANIC,PORCELANIC,04/01/2023,K98,PZ,120X260,120X260/5,PC BIA GL,PZA.ESP,XLINING,ATELIER,,XLINING,120X260,0,120X260,120X260,260,120,3.12,0,IVA 21,PZ,C,120X260/5,120X260/5,120X260,5,15.6,2,31.2,13,8.43557E+12,69074000
A038689,DECOR VASILY II RECT 120X260,PZ,83.49,82.03,PORCELANIC,PORCELANIC,04/01/2023,K98,PZ,120X260,120X260/8,PC BIA GL,PZA.ESP,XLINING,ATELIER,,XLINING,120X260,0,120X260,120X260,260,120,3.12,0,IVA 21,PZ,C,120X260/8,120x260/8,120X260,1,3.12,8,24.96,2.6,8.43557E+12,69074000
A035230,STARON BRIGHTWHITE 3660X1350X12,PZ,101.75,100,SOLIDSURF,SOLIDSURF,08/02/2019,JM,PZ,3660X1350X,3660X1350X12,SOLIDSURF,PLANCHA,STARON,SWHITE,,STARON,3660X1350X,0,3660X1350X,3660x1350x12,366,135,4.94,0,IVA 21,PZ,C,3660X1350X12,3660X1350X12,3660X1350X,1,4.94,10,49.41,3.66,A035230,39205100
A039849,PELDAÑO RECTO ANT. C3 BOURG 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,02/08/2022,JM,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,,69074000
A036631,PELDAÑO RECTO ANT. C3 BOURG 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036633,PELDAÑO RECTO ANT. C3 VALMALENCO 33X120,PZ,11.68,11.48,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,3.22,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036632,PELDAÑO RECTO C1 BOURG 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,3.25,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A036634,PELDAÑO RECTO C1 VALMALENCO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,22/10/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,4.STONES,,APE,33X120,1.33,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A032632,PELDAÑO RECTO ANT. C3 ALABAMA ARTICO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,1.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032633,PELDAÑO RECTO ANT. C3 ALABAMA CENERE 33X120,PZ,12.55,12.33,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.26,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032634,PELDAÑO RECTO ANT. C3 ALABAMA FAGGIO 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.19,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032635,PELDAÑO RECTO ANT. C3 ALABAMA NEBBIA 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032636,PELDAÑO RECTO ANT. C3 ALABAMA QUERCIA 33X120,PZ,12.45,12.24,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.19,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A032637,PELDAÑO RECTO ANT. C3 ALABAMA SANDALO 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,24/07/2017,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43531E+12,69074000
A035735,PELDAÑO RECTO C1 ALABAMA ARTICO 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035736,PELDAÑO RECTO C1 ALABAMA CENERE 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035737,PELDAÑO RECTO C1 ALABAMA FAGGIO 33X120,PZ,12.59,12.37,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.3,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035738,PELDAÑO RECTO C1 ALABAMA NEBBIA 33X120,PZ,11.82,11.61,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.23,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035739,PELDAÑO RECTO C1 ALABAMA QUERCIA 33X120,PZ,12.27,12.06,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,0,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
A035740,PELDAÑO RECTO C1 ALABAMA SANDALO 33X120,PZ,12.73,12.5,PAV/REV,PAV/REV,16/05/2019,K91,PZ,33X120,E120X33/12-11SASSO/C,EXTRUSI,PZA ESP,APE,ALABAMA,,APE,33X120,3.28,33X120,33x120,120,33,0.4,0,IVA 21,PZ,C,E120X33/12-11SASSO/C,E120x33/12-11SASSO/COSTILLA,33X120,2,0.79,11,8.71,2.5,8.43557E+12,69074000
345345,Jaosn Single colour 50x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
